10
Standard deviation, Daily Patient count , 5.83
Mean, Daily Patient count , 33.04
11
Standard deviation, Daily Patient wait time , 577.14
Mean, Daily Patient wait time , 192.62
12
Standard deviation, Long patient count , 7.43
Mean, Long patient count , 3.21
13
Standard deviation, Long patient time , 570.14
Mean, Long patient time , 178.58
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 81.35
Mean, Daily patient treatment , 314.02
16
Standard deviation, Daily Overtime , 13.69
Mean, Daily Overtime , 2.15
17
Standard deviation, Daily doctor idle , 863.70
Mean, Daily doctor idle , 1364.49
