10
Standard deviation, Daily Patient count , 5.73
Mean, Daily Patient count , 33.02
11
Standard deviation, Daily Patient wait time , 386.34
Mean, Daily Patient wait time , 81.11
12
Standard deviation, Long patient count , 5.08
Mean, Long patient count , 1.35
13
Standard deviation, Long patient time , 380.27
Mean, Long patient time , 75.19
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.33
Mean, Daily patient treatment , 314.02
16
Standard deviation, Daily Overtime , 8.95
Mean, Daily Overtime , 0.91
17
Standard deviation, Daily doctor idle , 2065.37
Mean, Daily doctor idle , 3415.56
