10
Standard deviation, Daily Patient count , 5.74
Mean, Daily Patient count , 33.07
11
Standard deviation, Daily Patient wait time , 432.26
Mean, Daily Patient wait time , 102.73
12
Standard deviation, Long patient count , 5.66
Mean, Long patient count , 1.71
13
Standard deviation, Long patient time , 425.75
Mean, Long patient time , 95.24
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.54
Mean, Daily patient treatment , 314.30
16
Standard deviation, Daily Overtime , 10.06
Mean, Daily Overtime , 1.15
17
Standard deviation, Daily doctor idle , 1626.21
Mean, Daily doctor idle , 2668.17
