10
Standard deviation, Daily Patient count , 5.70
Mean, Daily Patient count , 32.99
11
Standard deviation, Daily Patient wait time , 875.23
Mean, Daily Patient wait time , 705.36
12
Standard deviation, Long patient count , 10.19
Mean, Long patient count , 12.36
13
Standard deviation, Long patient time , 879.50
Mean, Long patient time , 664.60
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 77.59
Mean, Daily patient treatment , 312.92
16
Standard deviation, Daily Overtime , 22.92
Mean, Daily Overtime , 6.86
17
Standard deviation, Daily doctor idle , 186.98
Mean, Daily doctor idle , 251.29
