10
Standard deviation, Daily Patient count , 5.72
Mean, Daily Patient count , 33.01
11
Standard deviation, Daily Patient wait time , 407.37
Mean, Daily Patient wait time , 90.65
12
Standard deviation, Long patient count , 5.34
Mean, Long patient count , 1.51
13
Standard deviation, Long patient time , 401.09
Mean, Long patient time , 84.04
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.50
Mean, Daily patient treatment , 313.99
16
Standard deviation, Daily Overtime , 9.45
Mean, Daily Overtime , 1.01
17
Standard deviation, Daily doctor idle , 1847.04
Mean, Daily doctor idle , 3042.48
