10
Standard deviation, Daily Patient count , 5.87
Mean, Daily Patient count , 32.96
11
Standard deviation, Daily Patient wait time , 705.59
Mean, Daily Patient wait time , 307.52
12
Standard deviation, Long patient count , 8.86
Mean, Long patient count , 5.13
13
Standard deviation, Long patient time , 699.73
Mean, Long patient time , 285.72
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 81.03
Mean, Daily patient treatment , 313.64
16
Standard deviation, Daily Overtime , 17.19
Mean, Daily Overtime , 3.45
17
Standard deviation, Daily doctor idle , 531.76
Mean, Daily doctor idle , 805.57
