10
Standard deviation, Daily Patient count , 5.78
Mean, Daily Patient count , 33.10
11
Standard deviation, Daily Patient wait time , 400.06
Mean, Daily Patient wait time , 75.70
12
Standard deviation, Long patient count , 4.95
Mean, Long patient count , 1.19
13
Standard deviation, Long patient time , 394.61
Mean, Long patient time , 70.71
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.33
Mean, Daily patient treatment , 314.82
16
Standard deviation, Daily Overtime , 9.63
Mean, Daily Overtime , 0.93
17
Standard deviation, Daily doctor idle , 2390.59
Mean, Daily doctor idle , 3971.50
Percent of long waiting patients , 3.61
