10
Standard deviation, Daily Patient count , 5.72
Mean, Daily Patient count , 33.05
11
Standard deviation, Daily Patient wait time , 419.26
Mean, Daily Patient wait time , 96.31
12
Standard deviation, Long patient count , 5.50
Mean, Long patient count , 1.60
13
Standard deviation, Long patient time , 412.87
Mean, Long patient time , 89.29
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.74
Mean, Daily patient treatment , 314.50
16
Standard deviation, Daily Overtime , 9.74
Mean, Daily Overtime , 1.08
17
Standard deviation, Daily doctor idle , 1736.64
Mean, Daily doctor idle , 2855.29
