10
Standard deviation, Daily Patient count , 5.72
Mean, Daily Patient count , 33.03
11
Standard deviation, Daily Patient wait time , 396.44
Mean, Daily Patient wait time , 85.61
12
Standard deviation, Long patient count , 5.21
Mean, Long patient count , 1.43
13
Standard deviation, Long patient time , 390.27
Mean, Long patient time , 79.37
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.25
Mean, Daily patient treatment , 314.12
16
Standard deviation, Daily Overtime , 9.19
Mean, Daily Overtime , 0.96
17
Standard deviation, Daily doctor idle , 1957.07
Mean, Daily doctor idle , 3229.63
