10
Standard deviation, Daily Patient count , 5.82
Mean, Daily Patient count , 33.05
11
Standard deviation, Daily Patient wait time , 612.08
Mean, Daily Patient wait time , 220.13
12
Standard deviation, Long patient count , 7.84
Mean, Long patient count , 3.67
13
Standard deviation, Long patient time , 605.24
Mean, Long patient time , 204.09
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.59
Mean, Daily patient treatment , 314.32
16
Standard deviation, Daily Overtime , 14.61
Mean, Daily Overtime , 2.46
17
Standard deviation, Daily doctor idle , 755.28
Mean, Daily doctor idle , 1179.07
