10
Standard deviation, Daily Patient count , 5.73
Mean, Daily Patient count , 33.03
11
Standard deviation, Daily Patient wait time , 462.30
Mean, Daily Patient wait time , 118.54
12
Standard deviation, Long patient count , 6.04
Mean, Long patient count , 1.97
13
Standard deviation, Long patient time , 455.58
Mean, Long patient time , 109.90
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.24
Mean, Daily patient treatment , 314.33
16
Standard deviation, Daily Overtime , 10.79
Mean, Daily Overtime , 1.33
17
Standard deviation, Daily doctor idle , 1410.95
Mean, Daily doctor idle , 2297.30
