10
Standard deviation, Daily Patient count , 5.77
Mean, Daily Patient count , 33.07
11
Standard deviation, Daily Patient wait time , 521.91
Mean, Daily Patient wait time , 154.10
12
Standard deviation, Long patient count , 6.77
Mean, Long patient count , 2.57
13
Standard deviation, Long patient time , 514.91
Mean, Long patient time , 142.87
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.60
Mean, Daily patient treatment , 314.19
16
Standard deviation, Daily Overtime , 12.28
Mean, Daily Overtime , 1.72
17
Standard deviation, Daily doctor idle , 1084.41
Mean, Daily doctor idle , 1738.40
