10
Standard deviation, Daily Patient count , 5.75
Mean, Daily Patient count , 33.04
11
Standard deviation, Daily Patient wait time , 479.87
Mean, Daily Patient wait time , 128.42
12
Standard deviation, Long patient count , 6.26
Mean, Long patient count , 2.14
13
Standard deviation, Long patient time , 473.03
Mean, Long patient time , 119.06
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.41
Mean, Daily patient treatment , 314.40
16
Standard deviation, Daily Overtime , 11.22
Mean, Daily Overtime , 1.44
17
Standard deviation, Daily doctor idle , 1301.59
Mean, Daily doctor idle , 2110.67
