10
Standard deviation, Daily Patient count , 5.74
Mean, Daily Patient count , 33.05
11
Standard deviation, Daily Patient wait time , 446.53
Mean, Daily Patient wait time , 110.07
12
Standard deviation, Long patient count , 5.84
Mean, Long patient count , 1.83
13
Standard deviation, Long patient time , 439.91
Mean, Long patient time , 102.05
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.53
Mean, Daily patient treatment , 314.36
16
Standard deviation, Daily Overtime , 10.40
Mean, Daily Overtime , 1.23
17
Standard deviation, Daily doctor idle , 1519.51
Mean, Daily doctor idle , 2483.37
