10
Standard deviation, Daily Patient count , 5.72
Mean, Daily Patient count , 33.00
11
Standard deviation, Daily Patient wait time , 368.25
Mean, Daily Patient wait time , 73.38
12
Standard deviation, Long patient count , 4.85
Mean, Long patient count , 1.22
13
Standard deviation, Long patient time , 362.38
Mean, Long patient time , 68.03
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.44
Mean, Daily patient treatment , 313.86
16
Standard deviation, Daily Overtime , 8.51
Mean, Daily Overtime , 0.82
17
Standard deviation, Daily doctor idle , 2284.33
Mean, Daily doctor idle , 3789.00
