10
Standard deviation, Daily Patient count , 5.75
Mean, Daily Patient count , 33.08
11
Standard deviation, Daily Patient wait time , 499.58
Mean, Daily Patient wait time , 140.09
12
Standard deviation, Long patient count , 6.50
Mean, Long patient count , 2.33
13
Standard deviation, Long patient time , 492.65
Mean, Long patient time , 129.88
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 80.55
Mean, Daily patient treatment , 315.08
16
Standard deviation, Daily Overtime , 11.72
Mean, Daily Overtime , 1.57
17
Standard deviation, Daily doctor idle , 1193.38
Mean, Daily doctor idle , 1924.85
