10
Standard deviation, Daily Patient count , 5.83
Mean, Daily Patient count , 33.02
11
Standard deviation, Daily Patient wait time , 547.48
Mean, Daily Patient wait time , 171.22
12
Standard deviation, Long patient count , 7.08
Mean, Long patient count , 2.85
13
Standard deviation, Long patient time , 540.44
Mean, Long patient time , 158.74
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 81.14
Mean, Daily patient treatment , 313.64
16
Standard deviation, Daily Overtime , 12.93
Mean, Daily Overtime , 1.92
17
Standard deviation, Daily doctor idle , 973.86
Mean, Daily doctor idle , 1551.22
