10
Standard deviation, Daily Patient count , 5.68
Mean, Daily Patient count , 32.68
11
Standard deviation, Daily Patient wait time , 985.87
Mean, Daily Patient wait time , 1223.39
12
Standard deviation, Long patient count , 8.99
Mean, Long patient count , 19.77
13
Standard deviation, Long patient time , 996.92
Mean, Long patient time , 1179.36
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 77.46
Mean, Daily patient treatment , 313.33
16
Standard deviation, Daily Overtime , 30.96
Mean, Daily Overtime , 13.73
17
Standard deviation, Daily doctor idle , 50.57
Mean, Daily doctor idle , 78.06
