10
Standard deviation, Daily Patient count , 5.95
Mean, Daily Patient count , 33.04
11
Standard deviation, Daily Patient wait time , 770.31
Mean, Daily Patient wait time , 383.72
12
Standard deviation, Long patient count , 9.49
Mean, Long patient count , 6.41
13
Standard deviation, Long patient time , 765.97
Mean, Long patient time , 357.02
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 82.20
Mean, Daily patient treatment , 313.29
16
Standard deviation, Daily Overtime , 19.13
Mean, Daily Overtime , 4.31
17
Standard deviation, Daily doctor idle , 419.91
Mean, Daily doctor idle , 620.07
