10
Standard deviation, Daily Patient count , 5.86
Mean, Daily Patient count , 33.05
11
Standard deviation, Daily Patient wait time , 654.03
Mean, Daily Patient wait time , 256.71
12
Standard deviation, Long patient count , 8.31
Mean, Long patient count , 4.28
13
Standard deviation, Long patient time , 647.54
Mean, Long patient time , 238.11
14
Standard deviation, Daily lunch skipped , 0.00
Mean, Daily lunch skipped , 0.00
15
Standard deviation, Daily patient treatment , 81.46
Mean, Daily patient treatment , 314.93
16
Standard deviation, Daily Overtime , 15.75
Mean, Daily Overtime , 2.87
17
Standard deviation, Daily doctor idle , 640.94
Mean, Daily doctor idle , 990.34
